SOIL_ID,SNAM
189,LS2_S3_S3_4_>100cm_>100cm_N_A
190,LS2_S3_S3_4_>100cm_>100cm_N_B
191,LS2_S3_S3_4_>100cm_>100cm_Y_A
192,LS2_S3_S3_4_>100cm_>100cm_Y_B
193,LS2_S3_S3_4_>100cm_>100cm_Y_C
194,LS2_S3_SL3_3_>100cm_60-100cm_N_A
195,LS2_S3_SL3_3_>100cm_60-100cm_N_B
196,LS2_S3_SL3_3_>100cm_60-100cm_N_C
197,LS2_S3_SL3_3_>100cm_60-100cm_N_D
198,LS2_S3_SL3_3_>100cm_60-100cm_Y_A
199,LS2_S3_SL3_3_>100cm_60-100cm_Y_B
200,LS2_S3_SL3_3_>100cm_60-100cm_Y_C
201,LS2_S3_SL3_3_>100cm_60-100cm_Y_D
202,LS2_S3_SL3_3_>100cm_<60cm_N_A
203,LS2_S3_SL3_3_>100cm_<60cm_N_B
204,LS2_S3_SL3_3_>100cm_<60cm_N_D
205,LS2_S3_SL3_3_>100cm_<60cm_Y_B
206,LS2_S3_SL3_3_>100cm_>100cm_N_A
207,LS2_S3_SL3_3_>100cm_>100cm_N_B
208,LS2_S3_SL3_3_>100cm_>100cm_N_C
209,LS2_S3_SL3_3_>100cm_>100cm_Y_A
210,LS2_S3_SL3_3_>100cm_>100cm_Y_B
211,LS2_S3_SL3_3_>100cm_>100cm_Y_C
212,LS2_S3_SL3_4_>100cm_60-100cm_N_D
213,LS2_S3_SL3_4_>100cm_60-100cm_Y_A
214,LS2_S3_SL3_4_>100cm_60-100cm_Y_B
215,LS2_S3_SL3_4_>100cm_60-100cm_Y_D
216,LS2_S3_SL3_4_>100cm_>100cm_N_A
217,LS2_S3_SL3_4_>100cm_>100cm_N_B
218,LS2_S3_SL3_4_>100cm_>100cm_N_C
219,LS2_S3_SL3_4_>100cm_>100cm_N_D
220,LS2_S3_SL3_4_>100cm_>100cm_Y_A
221,LS2_S3_SL3_4_>100cm_>100cm_Y_B
222,LS2_S3_SL3_4_>100cm_>100cm_Y_C
223,LS2_S3_SL3_5_>100cm_60-100cm_N_B
224,LS2_S3_SL3_5_>100cm_60-100cm_Y_B
225,LS2_S3_SL3_5_>100cm_>100cm_N_A
226,LS2_S3_SL3_5_>100cm_>100cm_N_B
227,LS2_S3_SL3_5_>100cm_>100cm_Y_A
228,LS2_S3_SL3_5_>100cm_>100cm_Y_B
229,LS2_S3_SL4_3_>100cm_>100cm_N_B
230,LS2_S3_SL4_3_>100cm_>100cm_Y_B
231,LS2_S3_SiL1_3_>100cm_>100cm_Y_C
232,LS2_SL3_SL3_2_>100cm_60-100cm_N_C
233,LS2_SL3_SL3_2_>100cm_60-100cm_Y_B
234,LS2_SL3_SL3_2_>100cm_<60cm_N_C
235,LS2_SL3_SL3_2_>100cm_>100cm_N_A
236,LS2_SL3_SL3_2_>100cm_>100cm_N_B
237,LS2_SL3_SL3_2_>100cm_>100cm_Y_A
238,LS2_SL3_SL3_2_>100cm_>100cm_Y_B
239,LS2_SL3_SL3_3_>100cm_60-100cm_Y_C
240,LS2_SL3_SL3_3_>100cm_>100cm_Y_C
241,LS2_SL3_SL3_5_>100cm_60-100cm_N_B
242,LS2_SL3_SL3_5_>100cm_>100cm_N_B
243,LS2_SL5_SL5_3_>100cm_>100cm_Y_C
244,LS3_LS3_L_3_>100cm_>100cm_N_C
245,LS3_LS3_L_3_>100cm_>100cm_Y_B
246,LS3_LS3_SL3_2_>100cm_>100cm_N_B
247,LS3_LS3_SL3_2_>100cm_>100cm_Y_B
248,LS3_LS3_SL3_3_>100cm_<60cm_N_D
249,LS3_LS3_SL3_3_>100cm_>100cm_N_B
250,LS3_LS3_SL3_3_>100cm_>100cm_Y_A
251,LS3_LS3_SL4_2_>100cm_60-100cm_Y_D
252,LS3_LS3_SL4_2_>100cm_>100cm_N_B
253,LS3_LS3_SL4_2_>100cm_>100cm_Y_A
254,LS3_LS3_SL4_2_>100cm_>100cm_Y_B
255,LS3_LS3_SL4_3_>100cm_>100cm_N_B
256,LS3_LS3_SL4_3_>100cm_>100cm_Y_B
257,L_L_L_2_>100cm_<60cm_Y_C
258,L_L_L_2_>100cm_>100cm_Y_C
259,Mpl_Mpl_S1_8_>100cm_60-100cm_N_A
260,Mpl_Mpl_S1_8_>100cm_60-100cm_N_C
261,Mpl_Mpl_S1_8_>100cm_60-100cm_N_D
262,Mpl_Mpl_S1_8_>100cm_60-100cm_Y_A
263,Mpl_Mpl_S1_8_>100cm_60-100cm_Y_C
264,Mpl_Mpl_S1_8_>100cm_60-100cm_Y_D
265,Mpl_Mpl_S1_8_>100cm_<60cm_N_C
266,Mpl_Mpl_S1_8_>100cm_>100cm_N_A
267,Mpl_Mpl_S1_8_>100cm_>100cm_N_C
268,Mpl_Mpl_S1_8_>100cm_>100cm_Y_A
269,Mpl_Mpl_S1_8_>100cm_>100cm_Y_B
270,Mpl_Mpl_S1_8_>100cm_>100cm_Y_C
271,Mpl_Mpl_S3_8_>100cm_60-100cm_N_D
272,Mpl_Mpl_S3_8_>100cm_60-100cm_Y_D
273,Mpl_Mpl_S3_8_>100cm_>100cm_N_C
274,Mpl_Mpl_SL3_8_>100cm_60-100cm_N_A
275,Mpl_Mpl_SL3_8_>100cm_60-100cm_N_B
276,Mpl_Mpl_SL3_8_>100cm_60-100cm_N_D
277,Mpl_Mpl_SL3_8_>100cm_60-100cm_Y_A
278,Mpl_Mpl_SL3_8_>100cm_60-100cm_Y_B
279,Mpl_Mpl_SL3_8_>100cm_60-100cm_Y_D
280,Mpl_Mpl_SL3_8_>100cm_<60cm_N_D
281,Mpl_Mpl_SL3_8_>100cm_<60cm_Y_D
